,specsies,island,bill_len,depth_of_bill,flipper_length_mm,g,sex,YEAR
42,Adelie,Dream,36.0,18.5 mm,186.0,3100.0,female,2007
46,Adelie,Dream,41.1,19.0 mm,182.0,3425.0,male,2007
147,Adelie,Dream,36.6,18.4 mm,184.0,3475.0,fem,2009
148,Adelie,Dream,36.0,17.8 mm,195.0,3450.0,female,2009
140,Adelie,Dream,40.2,17.1 mm,193.0,3400.0,female,2009
17,Adelie,T,42.5,20.7 mm,197.0,4500.0,male,2007
19,Adelie,T,46.0,21.5 mm,194.0,4200.0,male,2007
72,Adelie,T,39.6,17.2 mm,196.0,3550.0,female,2008
76,Adelie,T,40.9,16.8 mm,191.0,3700.0,female,2008
75,Adelie,T,42.8,18.5 mm,195.0,4250.0,m,2008
79,Adelie,T,42.1,19.1 mm,195.0,4000.0,mal,2008
77,Adelie,T,37.2,19.4 mm,184.0,3900.0,male,2008
119,Adelie,Tor,41.1,18.6 mm,189.0,3325.0,male,2009
16,Adelie,Torgersen,38.7,19.0 mm,195.0,3450.0,female,2007
5,Adelie,Torgersen,39.3,20.6 mm,190.0,3650.0,mal,2007
118,Adelie,Torgersen,35.7,17.0 mm,189.0,3350.0,female,2009
333,C,D,49.3,19.9 mm,203.0,4050.0,male,9
287,C,D,51.7,20.3 mm,194.0,3775.0,mal,2007
325,C,Dream,49.8,17.3 mm,198.0,3675.0,female,9
332,C,Dream,45.2,16.6 mm,191.0,3250.0,female,2009
301,Chin',D,52.0,19.0 mm,197.0,4150.0,mal,2007
323,Chin',Dream,49.0,19.6 mm,212.0,4300.0,male,2009
299,Chinstrap,D,50.6,19.4 mm,193.0,3800.0,male,2007
310,Chinstrap,D,49.7,18.6 mm,195.0,3600.0,male,2008
336,Chinstrap,D,51.9,19.5 mm,206.0,3950.0,m,2009
321,Chinstrap,D,50.8,18.5 mm,201.0,4450.0,mal,2009
300,Chinstrap,Dream,46.7,17.9 mm,195.0,3300.0,female,2007
289,Chinstrap,Dream,52.0,18.1 mm,201.0,4050.0,male,2007
280,Chinstrap,Dream,52.7,19.8 mm,197.0,3725.0,male,2007
319,Chinstrap,Dream,45.5,17.0 mm,196.0,3500.0,female,2008
318,Chinstrap,Dream,50.9,19.1 mm,196.0,3550.0,male,2008
305,Chinstrap,Dream,52.8,20.0 mm,205.0,4550.0,male,2008
329,Chinstrap,Dream,50.7,19.7 mm,203.0,4050.0,m,2009
341,Chinstrap,Dream,49.6,18.2 mm,193.0,3775.0,male,2009
255,G,B,49.1,15.0 mm,228.0,5500.0,male,9
183,G,B,42.8,14.2 mm,209.0,4700.0,f,2007
210,G,B,43.2,14.5 mm,208.0,4450.0,female,2008
258,G,B,41.7,14.7 mm,210.0,4700.0,female,2009
254,G,Biscoe,47.2,15.5 mm,215.0,4975.0,female,9
239,Gen,B,51.3,14.2 mm,218.0,5300.0,male,2009
240,Gen too,Biscoe,47.5,14.0 mm,212.0,4875.0,f,2009
272,Gentoo,B,46.8,14.3 mm,215.0,4850.0,f,9
180,Gentoo,B,48.2,14.3 mm,210.0,4600.0,female,2007
158,Gentoo,B,45.4,14.6 mm,211.0,4800.0,female,2007
173,Gentoo,B,45.1,14.5 mm,215.0,5000.0,female,2007
152,Gentoo,B,46.1,13.2 mm,211.0,4500.0,female,2007
167,Gentoo,B,49.3,15.7 mm,217.0,5850.0,m,2007
179,Gentoo,B,47.8,15.0 mm,215.0,5650.0,m,2007
153,Gentoo,B,50.0,16.3 mm,230.0,5700.0,male,2007
175,Gentoo,B,46.3,15.8 mm,215.0,5050.0,male,2007
202,Gentoo,B,46.6,14.2 mm,210.0,4850.0,f,2008
220,Gentoo,B,43.5,14.2 mm,220.0,4700.0,female,2008
193,Gentoo,B,49.6,16.0 mm,225.0,5700.0,m,2008
231,Gentoo,B,45.2,16.4 mm,223.0,5950.0,m,2008
219,Gentoo,B,49.5,16.2 mm,229.0,5800.0,male,2008
195,Gentoo,B,49.6,15.0 mm,216.0,4750.0,male,2008
229,Gentoo,B,51.1,16.3 mm,220.0,6000.0,male,2008
260,Gentoo,B,43.3,14.0 mm,208.0,4575.0,female,2009
238,Gentoo,B,43.4,14.4 mm,218.0,4600.0,female,2009
267,Gentoo,B,55.1,16.0 mm,230.0,5850.0,male,2009
256,Gentoo,B,47.3,13.8 mm,216.0,4725.0,,2009
157,Gentoo,Biscoe,46.5,13.5 mm,210.0,4550.0,female,2007
172,Gentoo,Biscoe,50.2,14.3 mm,218.0,5700.0,male,2007
194,Gentoo,Biscoe,45.3,13.7 mm,210.0,4300.0,female,2008
225,Gentoo,Biscoe,46.5,14.8 mm,217.0,5200.0,female,2008
208,Gentoo,Biscoe,43.8,13.9 mm,208.0,4300.0,female,2008
198,Gentoo,Biscoe,45.5,13.9 mm,210.0,4200.0,female,2008
224,Gentoo,Biscoe,48.2,15.6 mm,221.0,5100.0,male,2008
209,Gentoo,Biscoe,45.5,15.0 mm,220.0,5000.0,male,2008
